"","X1","X2","X3","X4","X5","X6"
"1",101,100,100,100,100,"Red Vertosol"
"2",102,100,100,100,100,"Brown Vertosol"
"3",103,100,100,100,100,"Leptic Vertosol"
"4",104,100,100,100,100,"Bleached-Orthic Vertosol"
"5",105,100,100,100,100,"Chernic Vertosol"
"6",106,100,100,100,100,"Brown-Orthic Vertosol"
"7",107,100,100,100,100,"Semiaquic Vertosol"
"8",108,100,100,100,100,"Aeric Vertosol"
"9",109,100,100,100,100,"Yellow Vertosol"
"10",110,100,100,100,100,"Oxyaquic Vertosol"
"11",111,100,100,100,100,"Brown-Orthic Vertosol"
"12",112,100,100,100,100,"Arenic Vertosol"
"13",113,100,100,100,100,"Clastic Vertosol"
"14",114,100,100,100,100,"Grey Vertosol"
"15",115,100,100,100,100,"Black Vertosol"
"16",116,100,100,100,100,"Shelly Vertosol"
"17",117,100,100,100,100,"Redoxic Vertosol"
"18",118,100,100,100,100,"Grey-Orthic Vertosol"
"19",119,100,100,100,100,"Stratic Vertosol"
"20",120,100,100,100,100,"Spolic Vertosol"
"21",121,100,100,100,100,"Aquic Vertosol"
"22",122,100,100,100,100,"Chernic-Leptic Vertosol"
"23",123,100,100,100,100,"Lutic Vertosol"
"24",124,100,100,100,100,"Supratidal Vertosol"
"25",125,100,100,100,100,"Extratidal Vertosol"
"26",126,100,100,100,100,"Hemic Vertosol"
"27",127,100,100,100,100,"Sapric Vertosol"
"28",128,100,100,100,100,"Fibric Vertosol"
"29",129,100,100,100,100," Bleached-Leptic Vertosol"
"30",130,100,100,100,100,"Red-Orthic Vertosol"
"31",131,100,100,100,100,"Salic Vertosol"
"32",132,100,100,100,100,"Hypersalic Vertosol"
"33",133,100,100,100,100,"Calcic Vertosol"
"34",134,100,100,100,100,"Hypocalcic Vertosol"
"35",135,100,100,100,100,"Hortic Vertosol"
"36",136,100,100,100,100,"Dredgic Vertosol"
"37",137,100,100,100,100,"Black-Orthic Vertosol"
"38",138,100,100,100,100,"Cumulic Vertosol"
"39",139,100,100,100,100,"Urbic Vertosol"
"40",140,100,100,100,100,"Carbic Vertosol"
"41",141,100,100,100,100,"Hypercalcic Vertosol"
"42",142,100,100,100,100,"Scalpic Vertosol"
"43",143,100,100,100,100,"Lithocalcic Vertosol"
"44",144,100,100,100,100,"Calcenic Vertosol"
"45",145,100,100,100,100,"Supracalcic Vertosol"
"46",146,100,100,100,100,"Hypergypsic Vertosol"
"47",147,100,100,100,100,"Sesqui-Nodular Vertosol"
"48",148,100,100,100,100,"Garbic Vertosol"
"49",201,100,100,100,100,"Red Sodosol"
"50",202,100,100,100,100,"Brown Sodosol"
"51",203,100,100,100,100,"Leptic Sodosol"
"52",204,100,100,100,100,"Bleached-Orthic Sodosol"
"53",205,100,100,100,100,"Chernic Sodosol"
"54",206,100,100,100,100,"Brown-Orthic Sodosol"
"55",207,100,100,100,100,"Semiaquic Sodosol"
"56",208,100,100,100,100,"Aeric Sodosol"
"57",209,100,100,100,100,"Yellow Sodosol"
"58",210,100,100,100,100,"Oxyaquic Sodosol"
"59",211,100,100,100,100,"Brown-Orthic Sodosol"
"60",212,100,100,100,100,"Arenic Sodosol"
"61",213,100,100,100,100,"Clastic Sodosol"
"62",214,100,100,100,100,"Grey Sodosol"
"63",215,100,100,100,100,"Black Sodosol"
"64",216,100,100,100,100,"Shelly Sodosol"
"65",217,100,100,100,100,"Redoxic Sodosol"
"66",218,100,100,100,100,"Grey-Orthic Sodosol"
"67",219,100,100,100,100,"Stratic Sodosol"
"68",220,100,100,100,100,"Spolic Sodosol"
"69",221,100,100,100,100,"Aquic Sodosol"
"70",222,100,100,100,100,"Chernic-Leptic Sodosol"
"71",223,100,100,100,100,"Lutic Sodosol"
"72",224,100,100,100,100,"Supratidal Sodosol"
"73",225,100,100,100,100,"Extratidal Sodosol"
"74",226,100,100,100,100,"Hemic Sodosol"
"75",227,100,100,100,100,"Sapric Sodosol"
"76",228,100,100,100,100,"Fibric Sodosol"
"77",229,100,100,100,100," Bleached-Leptic Sodosol"
"78",230,100,100,100,100,"Red-Orthic Sodosol"
"79",231,100,100,100,100,"Salic Sodosol"
"80",232,100,100,100,100,"Hypersalic Sodosol"
"81",233,100,100,100,100,"Calcic Sodosol"
"82",234,100,100,100,100,"Hypocalcic Sodosol"
"83",235,100,100,100,100,"Hortic Sodosol"
"84",236,100,100,100,100,"Dredgic Sodosol"
"85",237,100,100,100,100,"Black-Orthic Sodosol"
"86",238,100,100,100,100,"Cumulic Sodosol"
"87",239,100,100,100,100,"Urbic Sodosol"
"88",240,100,100,100,100,"Carbic Sodosol"
"89",241,100,100,100,100,"Hypercalcic Sodosol"
"90",242,100,100,100,100,"Scalpic Sodosol"
"91",243,100,100,100,100,"Lithocalcic Sodosol"
"92",244,100,100,100,100,"Calcenic Sodosol"
"93",245,100,100,100,100,"Supracalcic Sodosol"
"94",246,100,100,100,100,"Hypergypsic Sodosol"
"95",247,100,100,100,100,"Sesqui-Nodular Sodosol"
"96",248,100,100,100,100,"Garbic Sodosol"
"97",301,100,100,100,100,"Red Dermosol"
"98",302,100,100,100,100,"Brown Dermosol"
"99",303,100,100,100,100,"Leptic Dermosol"
"100",304,100,100,100,100,"Bleached-Orthic Dermosol"
"101",305,100,100,100,100,"Chernic Dermosol"
"102",306,100,100,100,100,"Brown-Orthic Dermosol"
"103",307,100,100,100,100,"Semiaquic Dermosol"
"104",308,100,100,100,100,"Aeric Dermosol"
"105",309,100,100,100,100,"Yellow Dermosol"
