FertYN,Primary,Tertiary,Name
1,1,1.1.0,Nature conservation
1,1,1.1.1,Strict nature reserves
1,1,1.1.2,Wilderness area
1,1,1.1.3,National park
1,1,1.1.4,Natural feature protection
1,1,1.1.5,Habitat/species management area
1,1,1.1.6,Protected landscape
1,1,1.1.7,Other conserved area
1,1,1.2.0,Managed resource protection
1,1,1.2.1,Biodiversity
1,1,1.2.2,Surface water supply
1,1,1.2.3,Groundwater
1,1,1.2.4,Landscape
1,1,1.2.5,Traditional indigenous uses
1,1,1.3.0,Other minimal use
1,1,1.3.1,Defence land - natural areas
1,1,1.3.2,Stock route
1,1,1.3.3,Residual native cover
1,1,1.3.4,Rehabilitation
1,2,2.1.0,Grazing native vegetation
1,2,2.2.0,Production native forests
1,2,2.2.1,Wood production forestry
1,2,2.2.2,Other forest production
2,3,3.1.0,Plantation forests
2,3,3.1.1,Hardwood plantation forestry
2,3,3.1.2,Softwood plantation forestry
2,3,3.1.3,Other forest plantation
2,3,3.1.4,Environmental forest plantation
2,3,3.2.0,Grazing modified pastures
2,3,3.2.1,Native/exotic pasture mosaic
2,3,3.2.2,Woody fodder plants 
2,3,3.2.3,Pasture legumes
2,3,3.2.4,Pasture legume/grass mixtures
2,3,3.2.5,Sown grasses
2,3,3.3.0,Cropping
2,3,3.3.1,Cereals
2,3,3.3.2,Beverage and spice crops
2,3,3.3.3,Hay and silage 
2,3,3.3.4,Oilseeds
2,3,3.3.5,Sugar
2,3,3.3.6,Cotton
2,3,3.3.7,Alkaloid poppies
2,3,3.3.8,Pulses
2,3,3.4.0,Perennial horticulture
2,3,3.4.1,Tree fruits
2,3,3.4.2,Olives
2,3,3.4.3,Tree nuts
2,3,3.4.4,Vine fruits
2,3,3.4.5,Shrub berries and fruits
2,3,3.4.6,Perennial flowers and bulbs
2,3,3.4.7,Perennial vegetables and herbs
2,3,3.4.8,Citrus
2,3,3.4.9,Grapes
2,3,3.5.0,Seasonal horticulture
2,3,3.5.1,Seasonal fruits 
2,3,3.5.2,Seasonal flowers and bulbs
2,3,3.5.3,Seasonal vegetables and herbs
2,3,3.6.0,Land in transition
2,3,3.6.1,Degraded land
2,3,3.6.2,Abandoned land
2,3,3.6.3,Land under rehabilitation
2,3,3.6.4,No defined use
2,3,3.6.5,Abandoned perennial horticulture
2,4,4.1.0,Irrigated plantation forests
2,4,4.1.1,Irrigated hardwood plantation forestry
2,4,4.1.2,Irrigated softwood plantation forestry
