ID,AGENCY_CODE,PROJ_CODE,S_ID,O_ID,H_NO,O_LATITUDE_GDA,O_LONGITUDE_GDA,O_WA_SOILGRP_CODE,H_TEXTURE,Method,P_HCO3_,P_HCO3_1,P_HCO3_2,P_HCO3_3,P_HCO3_4,P_any_,P_buff_,P_buff_1,P_buff_2,P_buffany,ENT_DESC,PROP_DESC,LAND_USE_DESCRIPTION,LU_SEL
501_BRMO_012_1,501,BRMO,12,1,1,-18.962354,125.786371,,SL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_012_1,501,BRMO,12,1,2,-18.962354,125.786371,,SL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_012_1,501,BRMO,12,1,3,-18.962354,125.786371,,SCL,9B_9C,,1,,,,1,,,,,Agricultural,Pastoral,,4
501_BRMO_013_1,501,BRMO,13,1,3,-18.96062,125.78881,,SL,9B_9C,,3,,,,3,,,,,Agricultural,Pastoral,,4
501_BRMO_013_1,501,BRMO,13,1,4,-18.96062,125.78881,,LS,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_013_1,501,BRMO,13,1,1,-18.96062,125.78881,,LS,9B_9C,,1,,,,1,,,,,Agricultural,Pastoral,,4
501_BRMO_013_1,501,BRMO,13,1,2,-18.96062,125.78881,,LS,9B_9C,,17,,,,17,,,,,Agricultural,Pastoral,,4
501_BRMO_034_1,501,BRMO,34,1,1,-19.073633,121.672401,,SL,9B_9C,,3,,,,3,,,,,Agricultural,Pastoral,,4
501_BRMO_034_1,501,BRMO,34,1,2,-19.073633,121.672401,,SL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_034_1,501,BRMO,34,1,3,-19.073633,121.672401,,SCL,9B_9C,,0,,,,0,,,,,Agricultural,Pastoral,,4
501_BRMO_034_1,501,BRMO,34,1,4,-19.073633,121.672401,,FSCL,9B_9C,,0,,,,0,,,,,Agricultural,Pastoral,,4
501_BRMO_036_1,501,BRMO,36,1,3,-19.076662,121.667701,,SCL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_036_1,501,BRMO,36,1,4,-19.076662,121.667701,,SCL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_036_1,501,BRMO,36,1,2,-19.076662,121.667701,,SL,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
501_BRMO_036_1,501,BRMO,36,1,1,-19.076662,121.667701,,LS,9B_9C,,2,,,,2,,,,,Agricultural,Pastoral,,4
