"X","Y","ID","OBS_NO","VALUE","OBSERVEDPROPERTY","PROJECT_CODE","SITE_ID","SAMPLEID","SAMPLEDATE","UPPERDEPTH","LOWERDEPTH","DIST_TYPE","O_ASC_ORD"
151.21732,-25.48636,"1051",1,29,"9B2","ABN",1,30,01/JAN/81,0,0.1,"0",""
151.21732,-25.48636,"1051",1,23,"9B2","ABN",1,31,01/JAN/81,0,0.1,"0",""
151.21732,-25.48636,"1051",1,5,"9B2","ABN",1,32,01/JAN/81,0.1,0.2,"0",""
150.53534,-25.3772,"105102",1,3,"9B2","ABN",102,30,01/JAN/81,0,0.1,"0",""
150.53534,-25.3772,"105102",1,2,"9B2","ABN",102,31,01/JAN/81,0,0.1,"0",""
150.53534,-25.3772,"105102",1,2,"9B2","ABN",102,32,01/JAN/81,0.1,0.2,"0",""
150.84275,-25.2692,"105111",1,13,"9B2","ABN",111,30,01/JAN/81,0,0.1,"1",""
150.84275,-25.2692,"105111",1,17,"9B2","ABN",111,31,01/JAN/81,0,0.1,"1",""
150.84275,-25.2692,"105111",1,16,"9B2","ABN",111,32,01/JAN/81,0.1,0.2,"1",""
150.8127,-25.31209,"105113",1,6,"9B2","ABN",113,30,01/JAN/81,0,0.1,"3",""
150.8127,-25.31209,"105113",1,3,"9B2","ABN",113,31,01/JAN/81,0,0.1,"3",""
150.8127,-25.31209,"105113",1,2,"9B2","ABN",113,32,01/JAN/81,0.1,0.2,"3",""
150.90229,-25.29985,"105119",1,18,"9B2","ABN",119,30,01/JAN/81,0,0.1,"0",""
150.90229,-25.29985,"105119",1,10,"9B2","ABN",119,31,01/JAN/81,0,0.1,"0",""
150.90229,-25.29985,"105119",1,2,"9B2","ABN",119,32,01/JAN/81,0.1,0.2,"0",""
150.8259,-25.40706,"10512",1,8,"9B2","ABN",12,30,01/JAN/81,0,0.1,"0","RU"
150.74081,-25.38682,"10513",1,3,"9B2","ABN",13,30,01/JAN/81,0,0.1,"0",""
